id,title,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,keywords,poster_path,backdrop_path,recommendations
615656,Marcia Cunha: The Trench,Action-Science Fiction-Horror,en,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,8763.998,Apelles Entertainment-Warner Bros. Pictures-di Bonaventura Pictures-CMC Pictures-Gravity Pictures-China Film Group Corporation,2023-08-02,129000000.0,352056482.0,116.0,Released,Back for seconds.,7.079,1365.0,Jason Statham-Wu Jing-Shuya Sophia Cai-Sergio Peris-Mencheta-Skyler Samuels-Cliff Curtis-Page Kennedy-Sienna Guillory-Melissanthi Mahut-Kiran Sonia Sawar-Felix Mayr-Whoopie van Raam-Guo Tao-Robin Hill-Dai Lele-Sui Fong Ivy Tsui-Stewart Alexander-Li Xin-Billy Clements-Ron Smoorenburg-Rui Shang-Sara Dee-Jonny James-Bai Narisu-Kenneth Won-Able Wanamakok,based on novel or book-sequel-kaiju,/4m1Au3YkjqsxF8iwQy0fPYSxE0h.jpg,/qlxy8yo5bcgUw2KAmmojUKp4rHd.jpg,1006462-298618-569094-1061181-346698-1076487-616747-1083862-614930-1003581-980489-614479-1040148-872585-57084-667538-1149381-457332-724209-884605
758323,The Pope's Exorcist,Horror-Mystery-Thriller,en,Father Gabriele Amorth Chief Exorcist of the Vatican investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.,5953.227,Screen Gems-2.0 Entertainment-Jesus & Mary-Worldwide Katz-Loyola Productions-FFILME.RO,2023-04-05,18000000.0,65675816.0,103.0,Released,"Inspired by the actual files of Father Gabriele Amorth, Chief Exorcist of the Vatican.",7.433,545.0,Russell Crowe-Daniel Zovatto-Alex Essoe-Franco Nero-Peter DeSouza-Feighoney-Laurel Marsden-Cornell John-Ryan O'Grady-Bianca Bardoe-Santi Bayón-Paloma Bloyd-Alessandro Gruttadauria-River Hawkins-Jordi Collet-Carrie Munro-Marc Velasco-Edward Harper-Jones-Matthew Sim-Victor Solé-Tom Bonington-Andrea Dugoni-Ed White-Laila Barwick-Gennaro Diana-Pablo Raybould-Ralph Ineson-Derek Carroll-Ella Cannon,spain-rome italy-vatican-pope-pig-possession-conspiracy-devil-exorcist-skepticism-catholic priest-1980s-supernatural horror,/9JBEPLTPSm0d1mbEcLxULjJq9Eh.jpg,/hiHGRbyTcbZoLsYYkO4QiCLYe34.jpg,713704-296271-502356-1076605-1084225-1008005-916224-1023313-1033219-980078-842945-943822-816904-804150-638974-649609-603692-849869-809787-776835-1104040
667538,Transformers: Rise of the Beasts,Action-Adventure-Science Fiction,en,When a new threat capable of destroying the entire planet emerges Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.,5409.104,Skydance-Paramount-di Bonaventura Pictures-Bay Films-New Republic Pictures-Tom DeSanto/Don Murphy Production-Hasbro,2023-06-06,200000000.0,407045464.0,127.0,Released,Unite or fall.,7.34,1007.0,Anthony Ramos-Dominique Fishback-Luna Lauren Velez-Dean Scott Vazquez-Tobe Nwigwe-Sarah Stiles-Leni Parker-Frank Marrs-Aidan Devine-Kerwin Jackson-Mike Chute-Tyler Hall-Sean Tucker-Jay Farrar-Lucas Huarancca-Amiel Cayo-Santusa Cutipa-Yesenia Inquillay-Sumac T'Ika-Josue Sallo-Mellissa Alvarez-Gloria Cusi-Michael Kelly-Jason D. Avalos-Lesley Stahl-Peter Cullen-Ron Perlman-Peter Dinklage-Michelle Yeoh-Pete Davidson-Liza Koshy-John DiMaggio-David Sobolov-Michaela Jaé Rodriguez-Colman Domingo-Cristo Fernández-Tongayi Chirisa-Luke Jones,peru-alien-end of the world-based on cartoon-based on toy-robot-duringcreditsstinger-1990s-brother brother relationship,/gPbM0MK8CP8A174rmUwGsADNYKD.jpg,/woJbg7ZqidhpvqFGGMRhWQNoxwa.jpg,496450-569094-298618-385687-877100-598331-462883-979296-536437-532408-976573-447277-697843-603692-763261-9281-886563-324857-129120-980372-412117
805359,Onsen jôwa: Yubune de momi gaeri,Drama,ja,Asuka who lost her father and mother due to a natural disaster revisits the hot spring inn that they once visited. Asuka hears that there is a way to pick up Nakai's vegetables or reunite with a dead person and begins training.,195.242,Blue Forest Film,2020-07-24,0.0,0.0,80.0,Released,,1.5,2.0,Ayumi Kimito-Tomoe Aragaki-Yûka Chiba-Moe Sakura-Noriaki Yoshida-Sousuke Yamamoto-Yoshio Hosokawa,,/oB5sLGY2eI0ehhqonQnEYRHCFUU.jpg,/8LlQzWnu46aO8wdJL3bnwSNlFf7.jpg,
675,Harry Potter and the Order of the Phoenix,Adventure-Fantasy-Mystery,en,Returning for his fifth year of study at Hogwarts Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice Harry takes matters into his own hands training a small group of students to defend themselves against the dark arts.,195.015,Warner Bros. Pictures-Heyday Films,2007-06-28,150000000.0,938212738.0,138.0,Released,Evil Must Be Confronted.,7.7,17471.0,Daniel Radcliffe-Rupert Grint-Emma Watson-Helena Bonham Carter-Robbie Coltrane-Ralph Fiennes-Michael Gambon-Brendan Gleeson-Richard Griffiths-Jason Isaacs-Gary Oldman-Alan Rickman-Fiona Shaw-Maggie Smith-Imelda Staunton-David Thewlis-Emma Thompson-David Bradley-Warwick Davis-Tom Felton-Robert Hardy-George Harris-Natalia Tena-Julie Walters-Mark Williams-Harry Melling-Jason Boyd-Richard Macklin-Kathryn Hunter-Miles Jupp-Jessica Hynes-Adrian Rawlins-Geraldine Somerville-Peter Cartwright-Brigitte Millar-Timothy Bateson-James Phelps-Oliver Phelps-Bonnie Wright-Jamie Wolpert-Nicholas Blane-Daisy Haggard-Chris Rankin-Sian Thomas-Jamie Waylett-Josh Herdman-Katie Leung-Matthew Lewis-Evanna Lynch-Ryan Nelson-William Melling-Apple Brook-Devon Murray-Alfred Enoch-Afshan Azad-Shefali Chowdhury-Jim McManus-Nick Shirm-Sam Beazley-John Atterbury-Arben Bajraktaraj-Richard Leaf-Tony Maudsley-Alec Hopkins-Robbie Jarvis-James Walters-Charles Hughes-James Utechin-Jason Piper-Michael Wildman-Richard Cubison-Peter Best-Tav MacDougall-Richard Trinder-Nathan Clarke-David Heyman-Cliff Lanning-James Payton-Christopher Rithin-Lauren Shotton-Timothy Spall-Lisa Wood-Olga Velasco,prophecy-witch-loss of loved one-professor-magic-child hero-dying and death-school of witchcraft-black magic-sorcery-court-supernatural-occult-wizard-scholar-mystical land-ministry-based on young adult novel,/5aOyriWkPec0zUDxmHFP9qMmBaj.jpg,/pkxPkHOPJjOvzfQOclANEBT8OfK.jpg,767-12444-674-12445-672-673-671-58-285-22-1865-12-121-70160-585-12155-425-8587-118-557-9806
768744,My Hero Academia: World Heroes' Mission,Animation-Action-Adventure-Science Fiction,ja,A mysterious group called Humarize strongly believes in the Quirk Singularity Doomsday theory which states that when quirks get mixed further in with future generations that power will bring forth the end of humanity. In order to save everyone the Pro-Heroes around the world ask UA Academy heroes-in-training to assist them and form a world-class selected hero team. It’s up to the heroes to save the world and the future of heroes in what is the most dangerous crisis to take place yet in My Hero Academia.,194.971,BONES-TOHO-Yomiuri Telecasting Corporation-Shueisha-Nippon Television Network Corporation-dentsu-Sony Music Entertainment (Japan)-movic,2021-08-06,0.0,38410729.0,105.0,Released,Their fight is our future.,7.6,377.0,Daiki Yamashita-Nobuhiko Okamoto-Yuki Kaji-Ryo Yoshizawa-Kazuya Nakai-Megumi Hayashibara-Kenta Miyake-Tetsu Inada-Yuichi Nakamura-Ayane Sakura-Marina Inoue-Ryo Hirohashi-Aoi Yuki-Kei Shindo-Toshiki Masuda-Tasuku Hatanaka-Masakazu Nishida-Kiyotaka Furushima-Yoshimasa Hosoya-Koji Okino-Yuto Uemura-Kiyono Yasuno-Hiroyuki Yoshino-Yoko Honna-Kaori Nazuka-Kaori Yagi-Masamichi Kitada-Kazuyuki Okitsu-Kenta Ohkuma-Shuhei Matsuda-Misato Kawauchi-Takumu Miyazono-Kiyomitsu Mizuuchi-Hirofumi Nojima-Mariya Ise-Junya Enoki-Yuichiro Umehara-Shogo Sakata-Hina Natsume-Naomi Ozora-Yuki Hayashi-Arisa Sekine-Toshitsugu Takashina-Toshihiko Seki-Shigeru Chiba-Gido Tsujioka-Risa Ozaki-Ryo Ito-Akiyoshi Ohno-Takaaki Torashima-Yuuki Urushiyama-Kohsuke Tanabe-Yurika Kubo-Genta Nakamura-Miyari Nemoto,japan-hero-superhero-school-fighting-super power-shounen-anime,/AsTlA7dj2ySGY1pzGSD0MoHFhEF.jpg,/faek7NPiZqTZhstTfLQG1saw08D.jpg,436270-505262-631132-592350-483455-952374-383607-993437-739187-635302-810693-820232-825672-855433-869399-919355-508947-616037-801071-783461-774741
935819,"¿Nos casamos? Sí, mi amor",Comedy-Romance,es,Guille decides it's time to take the next step and proposes to his girlfriend Bea but things get complicated and nothing goes as planned.,194.433,,2022-02-03,0.0,0.0,0.0,Released,What can go wrong?,2.0,1.0,Yiddá Eslava-Julián Zucchi-Andrés Salas-Mayra Olivera-Pietro Sibille-Santiago Suárez-Patricia Portocarrero-Danny Rosales-Ernesto Pimentel Yesquén,wedding planner-love-romantic comedy,/AihFo8adZ6piwWpS3qvNxaUlTFU.jpg,/s5PP3ROYIrHvI7RjqMKkQMkr8wD.jpg,
809363,La novia de América,Comedy-Romance,es,,193.283,Tornasol Films-ANIMAL DE LUZ FILMS-Latido Films-Movistar+-La novia de América AIE,2023-02-17,0.0,0.0,0.0,Released,,0.0,0.0,Miren Ibarguren-Pol Monen-Eduardo Casanova-Diana Bovio-Christian Vázquez-Maribel Guardia-La Terremoto de Alcorcón,romantic comedy-wedding-wedding dress-wedding gown fashions-comedy-spanish wedding,/1iD3k1qQv0p1XJpBuq96YaXPz6q.jpg,/yn1Bu1uL3EY6aFw3OlOKXx3Tb6g.jpg,
851644,20th Century Girl,Romance-Drama,ko,Yeon-du asks her best friend Bora to collect all the information she can about Baek Hyun-jin while she is away in the U.S. for heart surgery. Bora decides to get close to Baek's best friend Pung Woon-ho first. However Bora's clumsy plan unfolds in an unexpected direction. In 1999 a year before the new century Bora who turns seventeen falls into the fever of first love.,190.884,Yong Film,2022-10-06,119.0,0.0,119.0,Released,A first love pov story.,8.319,430.0,Kim You-jung-Byeon Woo-seok-Park Jung-woo-Roh Yoon-seo-Kim Sung-kyung-Jeong Seok-yong-Yoon Yi-reh-Jeon Hye-won-Kim Nu-rim-Han Hyo-joo-Lee Beom-soo-Ryu Seung-ryong-Park Hae-jun-Gong Myoung-Ong Seong-wu-Kang Chae-young-Bang Woo-ri-Lee Chun-moo,coming of age-teenage girl-first love-nostalgic-city life-coming out of habits-fresh city-dreaming of a girl,/qhWPZdEEyht9Vqpj0vl3FB6CSr0.jpg,/rl7Jw8PjhSIjArOlDNv0JQPL1ZV.jpg,851649-936511-238-641934-851647-489272-290015-667257-571627-507089-505642-310001-707054-792718-265717-215379-76600-779782-436270-736526-19404

